Fuente_ID,Capa,Familia,Referencia_organismo,Jurisdiccion,Version_fecha,Identificador,URL_principal,Objeto_admitido,Objeto_no_admitido,Estado,Fecha_corte,Origen_revision
EULAR-AIIRD-2022,A2,Infección y profilaxis,"Fragoulis GE et al.; EULAR recommendations for screening and prophylaxis",Europa,2023,"PMID:36328476; DOI:10.1136/ard-2022-223335",https://pubmed.ncbi.nlm.nih.gov/36328476/,"Recomendaciones para AIIRD; rango de glucocorticoides asociado a consideración de profilaxis PJP","Umbral universal para toda inmunosupresión",VERIFICADA_CONTENIDO,2026-09-01,Grok revisado por Watson
EULAR-SLR-2022,A3,Infección y profilaxis,"Systematic literature review informing EULAR 2022",Europa,2022,"PMID:36323488; DOI:10.1136/rmdopen-2022-002726",https://pubmed.ncbi.nlm.nih.gov/36323488/,"Base de evidencia de las recomendaciones EULAR","Sustitución de la recomendación o generalización a otras poblaciones",CANDIDATA,2026-09-01,Grok
COCHRANE-PJP-2014,A3,Infección y profilaxis,"Stern A et al.; Prophylaxis for Pneumocystis pneumonia in non-HIV immunocompromised patients",Internacional,2014-10-01,"PMID:25269391; DOI:10.1002/14651858.CD005590.pub3",https://pubmed.ncbi.nlm.nih.gov/25269391/,"Eficacia y desenlaces separados en poblaciones no-VIH seleccionadas","Umbral único; población española general; evidencia actualizada a 2026",VERIFICADA_CONTENIDO,2026-09-01,Grok revisado por Watson
CDC-ACIP-ADULT-2025,A2,Vacunación,"CDC/ACIP adult immunization schedule by medical condition",Estados Unidos,2025,ACIP-ADULT-2025,https://www.cdc.gov/vaccines/hcp/imz-schedules/adult-medical-condition.html,"Indicaciones y contraindicaciones vacunales por condición","Norma española o representación exhaustiva de inmunología",CANDIDATA,2026-09-01,Grok
AEMPS-CIMA-SOLTRIM,A2,Medicamento,"AEMPS CIMA; ficha técnica Soltrim IV 160/800",España,2026-02,FT-54920,https://cima.aemps.es/cima/dochtml/ft/54920/FichaTecnica_54920.html,"Ficha regulatoria española del medicamento y sus indicaciones autorizadas","Umbral de profilaxis PJP o regla de clase farmacológica",VERIFICADA_CONTENIDO,2026-09-01,Grok revisado por Watson
TERM-WHO-ICD11,A4,Clasificación,"OMS ICD API; CIE-11 MMS",Internacional,2026-01,ICD11-MMS-2026-01,https://id.who.int/icd/release/11/2026-01/mms,"Clasificación; códigos MMS; URI; jerarquía y versión","Conocimiento clínico; causalidad; competencia; sustitución de SNOMED CT",VERIFICADA_ACCESO,2026-09-01,Watson
TERM-SNOMED-REL,A4,Terminología clínica,"SNOMED International; releases",Internacional,"versión por fijar al adoptar",SNOMED-CT,https://www.snomed.org/releases,"Punto oficial de versiones y paquetes de SNOMED CT","Adopción sin licencia; currículo; regla clínica",CANDIDATA,2026-09-01,Watson
INT-HL7-FHIR-R5,A4,Interoperabilidad,"HL7 FHIR R5",Internacional,5.0.0,HL7-FHIR-R5,https://hl7.org/fhir/,"Estructuras de intercambio; recursos; perfiles; Provenance y AuditEvent","Semántica clínica suficiente o lógica de decisión",VERIFICADA_CONTENIDO,2026-09-01,Watson
DATA-PUBMED,A5,Bibliografía,"NCBI PubMed E-utilities",Internacional,"servicio vivo 2026-09-01",PUBMED-EUTILS,https://www.ncbi.nlm.nih.gov/books/NBK25501/,"PMID; MeSH; metadatos y consulta reproducible","Fuente clínica sustantiva por sí misma",VERIFICADA_ACCESO,2026-09-01,Watson
DATA-OPENALEX,A5,Grafo bibliográfico,"OpenAlex REST API",Internacional,"servicio vivo 2026-09-01",OPENALEX-API,https://api.openalex.org,"DOI; obras; autores; instituciones; citas y expansión bibliográfica","Calidad clínica; causalidad; autoridad profesional",VERIFICADA_ACCESO,2026-09-01,Watson
DATA-OPENFDA,A5,Regulación y farmacovigilancia,"FDA openFDA; drug event/label/enforcement",Estados Unidos,"FAERS actualizado 2026-07-30 en prueba",OPENFDA,https://open.fda.gov/apis/,"Etiquetado regulatorio estadounidense; señales; retiradas y metadatos","Incidencia; causalidad; decisión clínica única; norma española",VERIFICADA_ACCESO,2026-09-01,Watson
DATA-CTGOV,A5,Ensayos,"ClinicalTrials.gov API v2",Estados Unidos/Internacional,"versión viva; fijar fecha por extracción",CTGOV-V2,https://clinicaltrials.gov/data-api/api,"Registro NCT; diseño; brazos y desenlaces declarados","Microdato clínico; resultado probado por el mero registro",CANDIDATA,2026-09-01,Grok
DATA-EUROPEPMC,A5,Bibliografía y acceso abierto,"Europe PMC",Europa,"servicio público",EUROPE-PMC,https://europepmc.org/RestfulWebService,"Metadatos; enlaces de acceso abierto; referencias","Fuente clínica sustantiva por sí misma",CANDIDATA,2026-09-01,Grok
DATA-IMMPort,A5,Repositorio inmunológico,"ImmPort",Estados Unidos,"acceso y licencia por conjunto pendientes",IMMPORT,https://www.immport.org/,"Candidato a contraste empírico si el conjunto y la licencia pasan D0-L","Presuponer acceso; asistencia; diagnóstico o tratamiento",BLOQUEADA,2026-09-01,Grok revisado por Watson
