field_id,block,layer,kind,input_mode,short_name,display_name,data_type,allowed_values,meaning_0,meaning_1,meaning_U,source,render_cell,render_order,notes
V16,V,V4,INPUT_MANUAL,MANUAL,molecular_useful,Resultado molecular compatible o útil para el eje adenocarcinoma-NSCLC,ternary,0|1|U,No / contradictorio / fallo técnico,Sí / informativo,Pendiente / no disponible,molecular,V,V16,
M01,META,M1,INPUT_AUTO,AUTO,L_complete,Completitud adecuada de la célula L,ternary,0|1|U,Cobertura crítica insuficiente,Cobertura crítica suficiente,No computable,derivado,META,M01,
M02,META,M1,INPUT_AUTO,AUTO,V_complete,Completitud adecuada de la célula V,ternary,0|1|U,Cobertura crítica insuficiente,Cobertura crítica suficiente,No computable,derivado,META,M02,
M03,META,M1,INPUT_AUTO,AUTO,LV_non_discordant,Ausencia de discordancia mayor L/V,ternary,0|1|U,Discordancia mayor presente,No hay discordancia mayor,No evaluable,derivado,META,M03,
M04,META,M2,INPUT_AUTO,AUTO,morph_suff,Suficiencia morfológica para cierre,ternary,0|1|U,Insuficiente,Suficiente,No evaluable,derivado,META,M04,
M05,META,M2,INPUT_AUTO,AUTO,ihc_suff,Suficiencia IHQ para cierre,ternary,0|1|U,Insuficiente,Suficiente,No evaluable,derivado,META,M05,
M06,META,M2,INPUT_AUTO,AUTO,molecular_suff,Suficiencia molecular para el estado del caso,ternary,0|1|U,Insuficiente o fallida cuando era relevante,Suficiente / disponible / formalmente activada de forma útil,No evaluable / no aplicable aún,derivado,META,M06,
M07,META,M3,INPUT_AUTO,AUTO,coherence_global,Coherencia clínico-radiológico-patológica global,ternary,0|1|U,Incoherente,Coherente,No evaluable,derivado,META,M07,
M08,META,M3,INPUT_AUTO,AUTO,U_resolvable,Resolubilidad actual de la U global,ternary,0|1|U,No resoluble en el siguiente paso acotado,Resoluble en el siguiente paso acotado,Resolvibilidad incierta,derivado,META,M08,
M09,META,M3,INPUT_AUTO,AUTO,classifiability_integrity,Integridad técnica del caso para clasificación final,ternary,0|1|U,No apta / vetada,Apta para clasificación o cierre acotado,No evaluable,derivado,META,M09,
DL1,DERIVED,DL,DERIVED_LABEL,DERIVED,label_L,Salida interna de L,ternary,0|1|U,LOW_L,HIGH_L,U_L,derivado,,,
DV1,DERIVED,DV,DERIVED_LABEL,DERIVED,label_V,Salida interna de V,ternary,0|1|U,NONCONF_V,CONF_V,U_V,derivado,,,
DM1,DERIVED,DM,DERIVED_LABEL,DERIVED,label_META,Salida interna de META,ternary,0|1|U,META_BLOCK,META_READY,META_TENSE,derivado,,,
G01,DERIVED,G,DERIVED_GAMMA,DERIVED,gamma_L,Γ_ADC-L criticidad activa de la indeterminación en L,ternary,0|1|U,No hay indeterminación crítica activa o su resolución aporta poco,Hay indeterminación crítica activa y resoluble,La criticidad misma no puede determinarse,derivado,,,
G02,DERIVED,G,DERIVED_GAMMA,DERIVED,gamma_V,Γ_ADC-V criticidad activa de la indeterminación en V,ternary,0|1|U,No hay indeterminación crítica activa o su resolución aporta poco,Hay indeterminación crítica activa y resoluble,La criticidad misma no puede determinarse,derivado,,,
G03,DERIVED,G,DERIVED_GAMMA,DERIVED,gamma_GLOBAL,Γ_ADC-GLOBAL criticidad activa de la indeterminación global,ternary,0|1|U,No hay indeterminación crítica activa global,Hay indeterminación crítica global y un próximo paso con alto valor resolutivo,La criticidad global no puede determinarse,derivado,,,
DG1,DERIVED,DG,DERIVED_LABEL,DERIVED,label_global,Salida global del sistema,ternary,0|1|U,GLOBAL_LOW,GLOBAL_HIGH,GLOBAL_U,derivado,,,
C01,DERIVED,C,DERIVED_STATE,DERIVED,composer_state,Estado del compositor diagnóstico secuencial,ternary,0|1|U,Aún no hay progresión suficiente hacia cierre,Existe progresión utilizable hacia el siguiente estado o el cierre,La progresión está bloqueada o es indeterminada,derivado,,,
