entity_id,canonical_name,entity_type,definition,domain_area,subdomain,etiology_class,mechanism_class,primary_or_secondary,acute_chronic_recurrent,genetic_acquired_iatrogenic_unknown,population_scope,diagnostic_criteria_source,classification_system,classification_code,classification_version,phenotype_codes,differential_entities,major_complications,treatment_context,repository_candidates,data_status,residual_or_dispute,review_status
E-IDS-ASPL,Asplenia / hipoesplenismo,condición,Pérdida anatómica o funcional de función esplénica.,ID secundaria,Barrera,quirúrgica / congénita / funcional,pérdida de clearance de capsulados,secundaria o congénita,permanente,mixto,cualquier,historia + imagen + Howell-Jolly,clínico,asplenia,n/a,,PAD humoral,OPSI,"vacunas, educación, a veces ATB",no A1,no contrastado con microdatos,funcional mal medida,propuesto
E-INF-PJP,Infección por Pneumocystis jirovecii,complicación infecciosa,"Enfermedad por P. jirovecii, no la colonización aislada.",Infección en IC,Hongo atípico,oportunista,neumonía en IC,secundaria a un IC,aguda,adquirida,IC,micro / PCR + clínica + imagen,clínico,PJP,n/a,ICD B59,"CMV, CAP, toxicidad MTX","IR agudo, muerte",TMP-SMX terapéutico ± GC; profilaxis es otro objeto,no específico A1,no contrastado con microdatos,colonización ≠ enfermedad; umbral profilaxis residual,propuesto
E-INF-CMV-E,Enfermedad CMV de órgano,complicación infecciosa,"Enfermedad tisular por CMV, distinta de la DNAemia asintomática.",Infección en IC,Herpesvirus,infecciosa,invasión de órgano,secundaria a IC / SOT,aguda,adquirida,SOT/TPH/IEI,definiciones TTS/AST CMV,TTS CMV,síndrome vs end-organ,guía TTS vigente,,DNAemia sin enfermedad; rechazo; IBD,"neumonitis, colitis, retinitis",antiviral + reducir IS,R01 ensayos,no contrastado con microdatos,DNAemia ≠ enfermedad,propuesto
E-ALG-ANA,Anafilaxia,síndrome agudo,Reacción sistémica aguda que cumple criterios versionados.,Inmunoalergia,Urgencia,alérgica / no alérgica,mastocito / basófilo ± otros,variable,aguda ± recurrente,adquirida habitualmente,cualquier,WAO / NIAID-FAAN (versionar),WAO,anaphylaxis,declarar,,"síncope, HAE, crisis asmática","muerte, anoxia",adrenalina IM,no A1,no contrastado con microdatos,frontera POE Alergología vs Inmunología ES,propuesto
E-AI-LES,Lupus eritematoso sistémico,entidad de criterios,Enfermedad autoinmune sistémica según criterios de clasificación versionados.,Autoinmunidad,CTD,autoinmune,pérdida de tolerancia + IC,primaria autoinmune,crónica con brotes,poligénica,mujer en edad fértil principalmente,ACR/EULAR 2019 (clasificación ≠ diagnóstico único),ACR/EULAR,SLE,2019,ICD M32,"MCTD, infecciones, fármacos","nefritis, SNC, SAF asociado, infección por IS",HCQ + IS según órgano,R01 ensayos LES,no contrastado con microdatos,clasificación ≠ diagnóstico; no fusionar con SAF,propuesto
E-AI-SAF,Síndrome antifosfolípido,entidad de criterios,Trombosis o morbilidad obstétrica con aPL persistentes según criterio versionado.,Autoinmunidad,aPL,autoinmune,aPL patógenos,primario o asociado a LES,crónico + eventos agudos,adquirida,adulto / obstétrico,Sapporo revisado / ACR-EULAR 2023 (no fusionar),ACR/EULAR o Sapporo,APS,declarar 2006 vs 2023,ICD D68.6,trombofilia hereditaria; aPL efímeros,"TEP, ACV, pérdida fetal, CAPS",anticoagulación,R01 si ensayo,no contrastado con microdatos,2006 ≠ 2023; triple positivo es relación,propuesto
E-AI-GPA,Granulomatosis con poliangeítis (PR3-ANCA),entidad,Vasculitis de pequeño vaso asociada habitualmente a PR3.,Autoinmunidad,Vasculitis,autoinmune,ANCA / granuloma,primaria autoinmune,recurrente,adquirida,adulto,CHCC 2012 + ACR/EULAR 2022,CHCC / ACR-EULAR,GPA,2012 / 2022,ICD M31.3,"MPA, EGPA, infección cavitada","pulmonar-renal, ORL destructiva",inducción RTX/CFM + mantenimiento,R01,no contrastado con microdatos,PR3 no es la entidad,propuesto
E-AI-MPA,Poliangeítis microscópica (MPO-ANCA),entidad,"Vasculitis de pequeño vaso asociada habitualmente a MPO, sin granuloma de GPA.",Autoinmunidad,Vasculitis,autoinmune,ANCA,primaria autoinmune,recurrente,adquirida,adulto,CHCC 2012 + ACR/EULAR 2022,CHCC / ACR-EULAR,MPA,2012 / 2022,ICD M31.7,"GPA, anti-GBM","GNRP, hemorragia alveolar",inducción + mantenimiento,R01,no contrastado con microdatos,MPO no es la entidad,propuesto
E-AI-GBM,Enfermedad por anti-MBG,entidad,Glomerulonefritis ± hemorragia alveolar mediada por anti-MBG.,Autoinmunidad,Pulmón-riñón,autoinmune,Ac anti-colágeno IV,primaria autoinmune,aguda fulminante,adquirida,adulto joven / bimodal,anti-MBG + clínica ± biopsia,KDIGO / clínico,anti-GBM disease,KDIGO vigente,ICD M31.0+,"ANCA, LES, infección","IRT, muerte hemorrágica",plasmaféresis + CFM + GC urgente,no A1,no contrastado con microdatos,doble ANCA+GBM,propuesto
E-TX-HAR,Rechazo hiperagudo,complicación,Rechazo inmediato mediado por Ac preformados al implante.,Trasplante,Rechazo,aloimmune,Ac preformados + complemento,secundaria al injerto,aguda inmediata,adquirida,receptor SOT,clínica intra/postoperatoria + XM,Banff (limitado en hiperagudo),hiperagudo,Banff vigente,,trombosis técnica,pérdida del injerto,prevención por XM/DSA,no A1,no contrastado con microdatos,hold-out de órgano,propuesto
E-TX-ABMR,Rechazo mediado por anticuerpos (ABMR),categoría Banff,"Rechazo humoral según Banff vigente, no un título DSA aislado.",Trasplante,Rechazo,aloimmune,DSA + histología + C4d según Banff,secundaria al injerto,agudo o crónico,adquirida,receptor SOT,Banff (versionar año),Banff,ABMR,declarar reunión Banff,,"TCMR, infección, recurrencia",pérdida del injerto,según centro y órgano (hold-out),no A1,no contrastado con microdatos,Banff año; órgano,propuesto
E-NEO-CRS,Síndrome de liberación citocínica,complicación iatrogénica,"CRS post CAR-T o engager, graduado ASTCT.",Terapia celular,CAR-T,iatrogénica,tormenta citocínica,secundaria,aguda,iatrogénica,receptor de terapia,ASTCT 2019,ASTCT,CRS grade,2019,,"sepsis, ICANS, HLH-like","shock, muerte",tocilizumab ± GC según grado,no A1,no contrastado con microdatos,CRS ≠ ICANS ≠ HLH,propuesto
E-NEO-IRAE,Evento adverso inmunomediado por checkpoint,clase de complicaciones,"Toxicidad autoinmune-like de ICI, órgano-específica.",Inmunooncología,Checkpoint,iatrogénica,desinhibición T,secundaria,aguda o diferida,iatrogénica,tratado ICI,ASCO/ESMO/SITC + CTCAE,CTCAE + órgano,irAE,CTCAE vigente,,"progresión, infección","miocarditis, colitis grave",GC ± IS según órgano y grado,ensayos ICI no auditados A1,no contrastado con microdatos,no es una sola entidad,propuesto
E-FR-ALERGO,Frontera Alergología–Inmunología (dos POE ES),frontera institucional,En ES Alergología e Inmunología son POE distintas. La rinitis/asma alérgica no se atribuye por defecto al inmunólogo de laboratorio.,Límites,POE,normativa,competencia profesional,n/a,n/a,n/a,ES,BOE POE Inmunología SCO/3255/2006 y POE Alergología,BOE,dos POE,2006 + vigentes,,anafilaxia (solape de urgencia),error de atribución formativa o asistencial,no decidir competencia en este CSV,ninguno,no contrastado con microdatos,solape real de anafilaxia/HAE; no cerrar G0,propuesto
