parameter_id,canonical_name,aliases,definition,domain_area,subdomain,clinical_episode,parameter_role,data_type,unit,allowed_values,reference_range_or_threshold,population_scope,specimen_or_source,temporal_anchor,clinical_use,knowledge_or_skill,omission_consequence_patient,omission_consequence_expert,criticality,patient_harm_priority,diagnostic_priority,management_priority,monitoring_priority,omission_consequence_priority,domain_coverage_priority,empirical_validation_priority,data_availability_priority,priority_rationale,priority_context,priority_source,priority_confidence,priority_disagreement,evidence_source,source_version_date,jurisdiction_scope,repository_candidates,empirical_status,conflict_status,residual_reason,review_status
P-IEI-002,Recuento absoluto CD4+,CD4 abs,Linfocitos T CD4+ absolutos.,IEI / ID adquirida,Inmunofenotipo T,VIH / SCID / SOT,estado,cuantitativo,células/µL,≥0,VIH: umbrales 200/350 históricos; IEI: rango etario — NO intercambiables,edad + etiología,citometría,fecha del ensayo,gravedad / profilaxis,no exportar umbral VIH a IEI,profilaxis o HSCT tarde,mezclar umbrales VIH e IEI,crítico,18,17,18,19,18,17,10,7,"alta disponibilidad en VIH, baja transferencia a IEI",candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,IUIS I; guía VIH; POE 5.1.8-9,declarar guía,internacional / ES (MIR-POE) según fuente,ESID/USIDNET; no cohorte VIH como IEI,no buscado,pendiente,umbrales no intercambiables,propuesto
P-IEI-003,TREC,cribado SCID,Cuantificación de círculos de escisión del receptor T (cribado neonatal o diagnóstico).,IEI,Cribado / timopoyesis,RN / sospecha SCID,entrada,cuantitativo,copias/µL o corte del programa,número o pos/neg según programa,corte del programa declarado; no universal,RN principalmente,sangre seca / sangre,día de vida del programa,diagnóstico,TREC bajo ≠ SCID confirmado; existen leaky,SCID no cribado: infección vacunal o muerte pre-HSCT,no activar confirmación,crítico,20,20,15,6,20,17,8,4,cribado neonatal: un caso omitido es catástrofe,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,programas NBS SCID; IUIS I,programa autonómico/nacional,internacional / ES (MIR-POE) según fuente,no en A1 como microdato de cribado ES,no encontrado,pendiente,programas NBS no están en A1,propuesto
P-IEI-004,IgG sérica,inmunoglobulina G,Concentración de IgG en suero.,IEI / laboratorio,Humorales,PAD / CVID / XLA / IGRT,estado,cuantitativo,mg/dL o g/L (declarar),≥0,rango etario; hipogammaglobulinemia no es CVID,edad-específico,suero,pre-IGRT si se evalúa déficit,diagnóstico / vigilancia,unidad; edad; no diagnosticar CVID solo con IgG,PAD no tratado,IGRT sin criterio o criterio sin IgG,crítico,17,18,16,17,17,19,11,10,el más común del dominio y aún no cierra entidad,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,ESID CVID criteria; IUIS III; POE 5.2.1,criterios ESID versionados,internacional / ES (MIR-POE) según fuente,ESID USIDNET REDIP ImmPort,no buscado,pendiente,unidad g/L vs mg/dL; criterios versionados,propuesto
P-IEI-005,IgA sérica,inmunoglobulina A,Concentración de IgA en suero.,IEI / laboratorio,Humorales,PAD / CVID / déficit selectivo IgA,estado,cuantitativo,mg/dL o g/L,≥0,rango etario; IgA=0 ≠ IgA baja,edad-específico,suero,diagnóstico,diagnóstico,no fusionar déficit selectivo IgA con CVID,clasificación CVID incompleta,fusionar entidades humorales,condicionalmente crítico,12,16,10,10,13,16,10,10,"alto valor clasificatorio, menor daño aislado",candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,ESID; IUIS III,IUIS 2024 III,internacional / ES (MIR-POE) según fuente,ESID USIDNET REDIP,no buscado,pendiente,anti-IgA no es este parámetro,propuesto
P-IEI-006,IgM sérica,inmunoglobulina M,Concentración de IgM en suero.,IEI / laboratorio,Humorales,PAD / hiper-IgM / XLA,estado,cuantitativo,mg/dL o g/L,≥0,"IgM alta con IgG/A bajas orienta CSR-defects, no los cierra",edad-específico,suero,diagnóstico,clasificación,"síndrome hiper-IgM es clase de entidades, no un valor",vía CD40LG/AID no orientada,llamar hiper-IgM a un número,condicionalmente crítico,13,17,12,9,14,15,9,10,"discrimina clases IUIS, no indica tratamiento solo",candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,IUIS III/II,IUIS 2024,internacional / ES (MIR-POE) según fuente,ESID USIDNET,no buscado,pendiente,fenotipo ≠ gen,propuesto
P-IEI-007,Estallido respiratorio de neutrófilos (DHR),DHR; NBT,Ensayo funcional de estallido respiratorio neutrofílico declarado (DHR u equivalente).,IEI,Fagocito / CGD,Abscesos / granulomas / cribado CGD,entrada,cuantitativo o categórico,% DHR+ o SI,según método,ausencia orienta CGD; portadora XL = mosaico,cualquier edad; portadoras X,sangre / citometría DHR,antes de HSCT / infección catalasa+,diagnóstico,DHR ≠ NBT; método debe declararse,CGD no visto: infección fúngica grave,profilaxis IFD no iniciada,crítico,19,20,17,8,19,14,8,5,ensayo que cambia profilaxis y HSCT,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,IUIS V.3; POE 5.2.2,IUIS 2024 V,internacional / ES (MIR-POE) según fuente,ESID USIDNET FlowRepository,inaccesible,pendiente,método DHR vs NBT no unificado,propuesto
P-IEI-008,CD19+ absoluto,B-cell count,Linfocitos B CD19+ absolutos.,IEI,Inmunofenotipo B,XLA / CVID / anti-CD20,estado,cuantitativo,células/µL,≥0,ausencia sugiere agammaglobulinemia u otro B-block,edad-específico,citometría,diagnóstico o post-anti-CD20,diagnóstico / vigilancia,B=0 no es CVID típico; post-rituximab es otro objeto,XLA no orientado o depleción B iatrogénica no medida,"mezclar XLA, CVID y rituximab",crítico,16,19,14,16,16,16,9,6,separa XLA / CVID / iatrogenia,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,IUIS III; POE 5.2.2,IUIS 2024,internacional / ES (MIR-POE) según fuente,ESID USIDNET FlowRepository,no buscado,pendiente,panel naïve/memoria no es este parámetro,propuesto
P-IEI-009,Actividad funcional de C1-inhibidor,C1-INH function,"Actividad funcional del inhibidor de C1, distinta del antígeno.",Complemento,HAE,Angioedema sin habones,entrada,cuantitativo,% actividad,≥0,baja en HAE-1 y HAE-2; normal no excluye HAE-nC1INH,cualquier edad,plasma según lab,"basal, no solo en crisis",diagnóstico,Ag ≠ función; HAE-2 tiene Ag normal y función baja,HAE-2 perdido si solo se pide antígeno,error de tipo de ensayo,crítico,18,20,16,8,19,12,7,5,el error Ag-por-función es el clásico del laboratorio,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,WAO HAE; IUIS VIII; POE 5.2.1,WAO HAE vigente,internacional / ES (MIR-POE) según fuente,ESID HAE,no encontrado,pendiente,Ag ≠ función si se fusionan,propuesto
P-IEI-010,C1-inhibidor antigénico,C1-INH antigen,"Concentración antigénica de C1-inhibidor, distinta de la función.",Complemento,HAE,Angioedema sin habones,entrada,cuantitativo,mg/dL o %,≥0,bajo en HAE-1; normal en HAE-2,cualquier edad,plasma/suero,basal,clasificación HAE-1 vs 2,no sustituye función,HAE-1 no visto; HAE-2 mal clasificado si se usa solo,usar un ensayo como si fueran dos,crítico,16,18,14,7,17,12,7,5,necesario pero insuficiente,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,WAO HAE; IUIS VIII,WAO HAE,internacional / ES (MIR-POE) según fuente,ESID,no encontrado,pendiente,no fusionar con función,propuesto
P-CMP-001,C3 sérico,complemento C3,Concentración de C3 en suero.,Complemento / autoinmunidad,Consumo,LES / MPGN / Neisseria / AHUS,estado,cuantitativo,mg/dL,≥0,bajo = consumo o déficit; no distingue vía,cualquier edad,suero,actividad o infección capsulada,actividad / diagnóstico,"C3 bajo + C4 normal orienta alternativa, no la cierra",nefritis o déficit no visto,interpretar consumo como déficit congénito,condicionalmente crítico,14,16,13,16,14,15,10,9,ubicuo en LES y complemento; no específico,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,SLICC/EULAR LES; IUIS VIII; POE 5.2.1,criterios LES versionados,internacional / ES (MIR-POE) según fuente,ImmPort ensayos LES; ESID complemento,no buscado,pendiente,consumo ≠ déficit,propuesto
P-CMP-002,C4 sérico,complemento C4,Concentración de C4 en suero.,Complemento / autoinmunidad,Vía clásica,LES / HAE / crioglobulinemia,estado,cuantitativo,mg/dL,≥0,"C4 bajo persistente en HAE es patrón, no diagnóstico solo",cualquier edad,suero,basal y brote,actividad / orientación,C4 muy bajo + angioedema sin habones → pedir C1-INH,HAE o LES activo no orientados,no encadenar el siguiente ensayo,condicionalmente crítico,14,17,12,15,15,14,10,9,puente entre LES y HAE,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,WAO HAE; criterios LES,declarar,internacional / ES (MIR-POE) según fuente,ESID ImmPort LES,no buscado,pendiente,patrón ≠ entidad,propuesto
P-CMP-003,CH50,vía clásica hemolítica,Actividad hemolítica de la vía clásica del complemento.,Complemento,Vía clásica,Infección capsulada / sospecha déficit MAC,entrada,cuantitativo,U/mL o %,≥0 o indetectable,indetectable orienta déficit homocigoto o consumo extremo,cualquier edad,suero fresco (preanalítica crítica),"basal, muestra bien conservada",diagnóstico,muestra mal conservada falsa baja; CH50≠AH50,déficit MAC no visto → meningococo recurrente,no pedir AH50 si CH50 normal y hay Neisseria,crítico,17,18,14,6,17,13,8,6,preanalítica y par CH50/AH50 son el error,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,IUIS VIII; POE 5.2.1,IUIS 2024 VIII,internacional / ES (MIR-POE) según fuente,ESID,no buscado,pendiente,AH50 es otro parámetro,propuesto
P-CMP-004,AH50,vía alternativa hemolítica,Actividad hemolítica de la vía alternativa del complemento.,Complemento,Vía alternativa,Neisseria / AHUS / factor D/B/P,entrada,cuantitativo,U/mL o %,≥0,bajo con CH50 normal orienta vía alternativa,cualquier edad,suero fresco,basal,diagnóstico,no sustituible por CH50,déficit vía alternativa no visto,pedir solo CH50,crítico,16,17,12,5,16,11,7,5,"par obligatorio con CH50, no promedio",candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,IUIS VIII,IUIS 2024,internacional / ES (MIR-POE) según fuente,ESID,no buscado,pendiente,ensayo poco disponible,propuesto
P-IS-001,Clase de inmunosupresor activo,IS class,Clase farmacológica del inmunosupresor activo. No la dosis. No el 'estado IS'.,ID secundaria,Iatrogenia,SOT / autoinmune / onco,exposición,categórico,clase,CNI; antimetabolito; mTOR; anti-CD20; anti-TNF; GC; ATG; belatacept; otro; ninguno; combinación,la clase no implica umbral de riesgo único,tratado,orden médica,día de la decisión,contexto / profilaxis,anti-CD20 ≠ CNI para PJP y vacunas,profilaxis y vacunas mal aplicadas,tratar 'el inmunosuprimido' como clase única,crítico,17,10,19,14,18,18,9,6,eje de las semillas IS; no es el episodio de IEI,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,POE 5.1.9 ID secundaria; guías SOT,corte 31-08-2026 semillas ≠ IEI,internacional / ES (MIR-POE) según fuente,ImmPort/TrialShare ensayos; no ESID,no encontrado,pendiente,IEI/PID repos ≠ IS farmacológica; semilla no agota clases,propuesto
P-IS-002,Exposición a anti-CD20 en los últimos 12 meses,rituximab reciente,Administración de anticuerpo anti-CD20 en los 12 meses previos.,ID secundaria,Depleción B,Autoinmune / onco / EM,exposición,booleano,sí/no,sí; no; desconocido,12 meses es convención de esta versión,tratado,HCE farmacológica,12 meses previos,profilaxis / vacunas / IGRT,hipogammaglobulinemia tardía; PJP si +esteroides,PJP o vacuna viva o no reponer IgG,dar por reversible el efecto a 6 meses siempre,crítico,18,8,18,16,18,14,8,7,iatrogenia frecuente y tardía,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,fichas técnicas; guías PJP en rituximab+GC,ventana 12 m = versión,internacional / ES (MIR-POE) según fuente,ImmPort si el ensayo usa anti-CD20,no buscado,pendiente,ventana temporal convencional,propuesto
P-IS-003,Concentración valle de tacrolimus,FK trough,Concentración valle de tacrolimus en sangre.,Trasplante,CNI,SOT / algunos TPH,control,cuantitativo,ng/mL,≥0,"diana depende de órgano, día post-SOT y protocolo; no hay un rango único",portador de CNI,sangre,"valle pre-dosis, día post-SOT",tratamiento / toxicidad,hold-out de órgano; no exportar diana renal a pulmón,rechazo o nefrotoxicidad,usar diana de otro órgano,crítico,16,6,18,20,16,12,9,6,monitorización máxima; daño por ambos extremos,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,protocolos SOT por órgano,protocolo del centro,internacional / ES (MIR-POE) según fuente,posible ensayos ImmPort SOT,no buscado,pendiente,hold-out de órgano; diana no universal,propuesto
P-IS-004,Dosis equivalente de prednisona vigente,PDN-eq,Dosis diaria actual de glucocorticoide en prednisona-equivalente.,ID secundaria,Glucocorticoides,Cualquier IS,exposición,cuantitativo,mg/día PDN-eq,≥0,"umbrales de riesgo varían (≥20 mg ≥4 sem es común, no universal)",tratado,orden médica,día de la decisión + duración,contexto / profilaxis,dosis puntual ≠ dosis × tiempo,PJP no profilaxada,ignorar duración,condicionalmente crítico,15,5,16,14,15,15,8,8,ubicuo; umbral de PJP no cerrado aquí,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,guías PJP; conversión GC estándar,tabla de equivalencia declarada,internacional / ES (MIR-POE) según fuente,ensayos ImmPort si recogen GC,no buscado,pendiente,dosis × tiempo es otra relación,propuesto
P-AU-001,Anti-MBG,anti-GBM,Anticuerpo IgG anti-membrana basal glomerular.,Autoinmunidad lab,Pulmón-riñón,Hemorragia alveolar o GNRP,entrada,cuantitativo o categórico,U/mL o pos/neg,según ensayo,positivo + clínica fulminante: no esperar biopsia para tratar,adulto principalmente,suero,urgencias pulmón-riñón,diagnóstico / tratamiento,doble ANCA+GBM existe,pérdida renal o muerte hemorrágica,esperar biopsia en fulminante,crítico,20,20,19,10,20,10,8,6,raro y catastrófico: prioridad de daño ≠ frecuencia,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,KDIGO GN,KDIGO vigente al usar,internacional / ES (MIR-POE) según fuente,no típico A1 IEI,no buscado,pendiente,enfermedad rara no en registros PID,propuesto
P-AU-002,ANCA especificidad MPO,anti-MPO,ANCA con especificidad mieloperoxidasa. No el IIF solo.,Autoinmunidad lab,Vasculitis,Sospecha MPA / EGPA / IR,entrada,cuantitativo o categórico,U/mL,según ensayo,IIF + especificidad; MPO ≠ PR3,adulto,suero,diagnóstico y recaída,diagnóstico / clasificación,no informar ANCA+ sin especificidad,MPA no clasificada,fusionar MPO y PR3,crítico,17,19,16,14,17,13,9,7,especificidad cambia entidad y recaída,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,CHCC 2012; ACR/EULAR 2022,CHCC 2012; ACR/EULAR 2022,internacional / ES (MIR-POE) según fuente,ensayos ImmPort vasculitis si existen,no buscado,pendiente,IIF es otro parámetro,propuesto
P-AU-003,ANCA especificidad PR3,anti-PR3,ANCA con especificidad proteinasa-3.,Autoinmunidad lab,Vasculitis,Sospecha GPA,entrada,cuantitativo o categórico,U/mL,según ensayo,PR3 ≠ MPO; IIF c-ANCA no sustituye PR3,adulto,suero,diagnóstico / recaída,diagnóstico / vigilancia,GPA no es un título,GPA no orientada,usar IIF como si fuera PR3,crítico,17,19,16,15,17,13,9,7,par con MPO; no fusionar,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,CHCC 2012; ACR/EULAR 2022 GPA,ACR/EULAR 2022,internacional / ES (MIR-POE) según fuente,ImmPort si ensayo,no buscado,pendiente,GPA ≠ título PR3,propuesto
P-AU-004,ANA título (IIF),ANA titer,Título de ANA por IIF sobre HEp-2 o sustrato declarado.,Autoinmunidad lab,AAN,Sospecha CTD,entrada,ordinal,dilución inversa,neg; 1:80; 1:160; 1:320; 1:640; ≥1:1280; según lab,corte del lab; 1:80 frecuente en sano,cualquier edad,suero IIF,diagnóstico; no monitoriza actividad LES solo,clasificación,título ≠ patrón ≠ ENA,menor que omitir anti-dsDNA o anti-Ro en contexto,tratar un 1:80 como LES,condicionalmente crítico,10,15,8,6,11,16,10,10,"alta cobertura, bajo valor aislado",candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,ICAP; ACR/EULAR 2019 LES entrada ANA,ACR/EULAR 2019; ICAP,internacional / ES (MIR-POE) según fuente,ImmPort LES,no buscado,pendiente,patrón es otro parámetro,propuesto
