relation_id,entity_id,parameter_id,relation_type,direction,conditional_on,temporal_window,threshold_or_rule,omission_consequence,evidence_source,evidence_strength,repository_evidence,conflict_status,residual
R-039,E-IEI-HLH-F,P-HLH-002,criterio,elevación sCD25,ensayo disponible,agudo,≥2400 U/mL histórico,retrasar tratamiento florido esperando el ensayo,HLH-2004,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,ensayo inaccesible
R-040,E-NEO-CRS,P-NEO-001,definición de gravedad,grado ASTCT,post CAR-T/TCE,horas-días,ASTCT 2019,no activar tocilizumab/UCI,ASTCT 2019,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,ICANS aparte
R-041,E-NEO-IRAE,P-NEO-002,clasificación de órgano,órgano presente,ICI,durante o diferido,órgano ≠ grado CTCAE,miocarditis tratada como colitis,ASCO/ESMO,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,grado no listado
R-042,E-IDS-ASPL,P-CLI-005,definición,presencia,,permanente,anatómica vs funcional,OPSI,calendarios asplenia,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,Howell-Jolly no listado
R-043,E-IEI-IPEX,P-CLI-004,fenotipo,presencia de autoinmunidad,varón lactante + enteropatía/endocrino,precoz,no suficiente solo,llamar alergia a un IPEX,IUIS IV,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,IPEX-like
R-044,E-IEI-IPEX,P-GEN-001,confirmación,FOXP3 P/LP,fenotipo,tras clínica,ACMG,no HSCT,IUIS,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,IPEX-like otros genes
R-045,E-FR-ALERGO,P-ALG-001,contexto institucional,urgencia compartida,ES,episodio,dos POE; la urgencia no cierra competencia de consulta,atribuir rinitis al lab o negar adrenalina por POE,BOE dos POE,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,G0 no se cierra aquí
R-046,E-IEI-APECED,P-GEN-001,confirmación,AIRE P/LP,tríada o anti-IFN + clínica,diagnóstico,ACMG,crisis adrenal no anticipada en familiares,IUIS IV,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,anti-IFN no parametrizado aún
R-047,E-IDS-FARM,P-VAC-002,exclusión,indicación de viva vs IC,clase IS,durante IS,contraindicación según clase — no unificada aquí,vacuna viva iatrogénica,ACIP IC,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,intensidad no cerrada
R-048,E-IEI-WAS,P-GEN-001,confirmación,WAS P/LP,trombocitopenia de plaquetas pequeñas,diagnóstico,gen + tamaño plaquetar (tamaño no listado aún),no HSCT en grave,IUIS,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,volumen plaquetar ausente en v0.2
R-049,E-AI-LES,P-AU-007,pronóstico gestacional,presencia anti-Ro,embarazo o deseo gestacional,preconcepcional / T1,vigilancia BAV; Ro52 vs Ro60,BAV neonatal,guías gestación autoinmune,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,Ro52/60 fusionados
R-050,E-AI-LES,P-CLI-006,contexto,presencia de gestación,persona con útero,día de decisión,cambia fármacos y vigilancia,teratógeno,fichas,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,trimestre
